Episode,Reward
51,-8.770354
51,-5.344533
51,-6.062077
51,-6.290775
51,-1.684161
53,-3.115545
51,-4.851828
51,-8.283362
51,-11.140117
51,-4.38027
51,-4.148275
51,-5.42165
83,58.802985
51,-7.671273
51,-4.799028
51,-8.14161
119,38.196656
51,-3.689967
104,23.928432
51,-6.515092
51,-3.243761
51,-9.715144
51,-4.898213
51,-5.298723
51,-1.586766
51,-4.775055
51,-3.69632
51,-9.080101
51,-6.831202
51,-3.863167
51,-2.153154
51,-6.089758
51,-8.435374
51,-3.419781
51,-6.785148
51,-3.77314
51,-4.947118
51,-8.428007
83,23.053258
51,-5.201405
53,-2.962841
51,-9.014751
177,89.676717
743,560.768339
51,-5.847122
51,-5.065905
239,155.965145
51,-4.003737
51,-2.986526
51,-3.66339
51,-3.595743
83,15.756013
51,-7.393284
51,-6.864104
51,-6.398659
51,-1.318647
900,1292.659669
51,-1.217999
51,-2.36737
51,1.439733
1310,988.879276
51,3.58868
51,2.252341
51,5.640386
51,3.579854
51,2.607956
51,5.829055
53,10.428205
51,6.274739
734,599.889816
51,7.713168
51,8.950845
51,7.674977
51,9.109033
51,9.894893
150,12.93661
51,8.695199
51,10.30242
51,9.276938
51,9.404343
273,224.046682
89,18.661837
51,4.101452
51,8.308632
51,11.606399
51,11.58337
112,97.131267
51,11.458393
63,29.906579
69,31.572835
51,12.444571
45,-23.030814
51,11.991846
51,8.97837
51,8.085608
51,8.924433
53,14.89689
51,11.432195
57,-17.739476
51,11.577547
51,10.843007
51,13.109824
119,46.048492
51,9.849299
74,-53.858535
54,-16.321052
59,24.651188
138,-3.778083
128,-1.953982
115,-16.123358
121,-5.428556
104,-19.276025
60,26.79396
97,-37.352834
63,24.486847
52,11.812795
51,11.213317
65,19.037598
98,-30.348606
52,17.731651
51,7.500187
51,10.701115
49,20.055883
56,23.489213
44,14.923777
51,10.833224
51,12.813792
51,8.889913
47,19.028367
55,18.151909
34,-26.943313
51,9.191559
44,14.324417
51,10.709566
43,17.791119
47,15.475558
52,21.044477
47,20.573175
48,16.178238
50,17.721306
508,602.384361
43,-22.976364
54,27.010943
51,11.055826
51,10.255502
45,18.491879
816,762.961987
51,13.997292
115,-11.536349
103,-13.740157
441,1045.575214
47,19.910831
48,16.050939
97,-16.417032
52,12.637835
56,20.948853
73,-0.040413
40,-31.114118
49,9.82233
189,161.500163
52,-2.584237
63,2.824538
52,12.090357
51,12.97215
68,-12.307471
51,14.791519
111,-25.094678
214,177.500092
62,-19.296817
66,-17.108094
59,-8.893588
51,14.354081
54,-48.538745
57,-7.872949
678,1620.929598
266,0.417413
162,44.576244
87,-20.52261
80,-0.501366
51,13.799289
860,835.917966
99,-33.210757
82,-16.125316
104,-28.992117
51,14.976847
91,-10.880894
250,1.802177
108,-37.985494
89,-9.921699
51,13.76387
51,14.583514
391,340.976001
73,-11.499625
100,-2.453801
188,81.69852
254,-120.767017
86,-6.91562
51,11.873042
51,14.090106
105,20.79601
78,27.653262
535,187.365945
953,2423.853138
76,7.544422
51,14.05307
51,14.561837
345,5.260073
80,-3.021114
51,11.099251
76,-10.925408
129,-0.152635
52,15.072167
108,26.810094
93,-37.295945
75,-10.494433
126,9.698929
449,912.476302
71,-3.418652
72,-5.321795
52,16.994697
89,36.571402
51,15.325618
51,15.663809
774,1483.545832
630,556.122636
835,368.339001
51,13.881117
51,14.979945
51,8.247988
92,-5.111546
71,1.698152
51,13.156675
51,12.828379
456,248.738719
51,11.577945
173,60.858461
119,-3.270432
53,14.251218
410,313.17541
156,-4.752884
51,9.986983
51,11.984596
107,8.229361
615,357.12222
101,-11.936629
123,-26.372981
51,10.819182
509,404.832829
228,4.339894
51,12.894836
51,1.744381
51,10.43826
51,12.918969
670,479.255809
79,13.670275
51,6.328246
51,9.561012
104,12.983713
51,10.90645
573,95.685218
153,18.085512
86,-2.493441
1568,798.050446
169,15.969956
1236,786.200642
51,11.191938
165,-11.385312
566,317.981859
521,316.821458
374,37.614388
1195,903.385629
51,12.914212
51,12.326196
66,13.323442
174,41.807349
322,209.683876
51,13.215442
490,164.452762
51,12.775684
231,142.767391
814,730.988316
163,33.990486
2526,1581.58459
69,37.331706
196,17.190564
51,12.973041
1412,2398.51276
513,373.964657
224,123.589164
685,378.012404
51,12.503522
51,11.224941
51,11.152571
764,686.791819
559,436.069609
453,301.987917
51,12.096647
447,271.229739
51,10.871242
243,71.32247
51,12.025619
466,268.402681
160,19.779444
1208,760.251839
51,12.19993
1460,1295.692663
118,73.236847
1294,779.326635
1025,778.867898
263,217.352533
1123,836.606154
171,35.245002
468,184.237843
1048,904.75826
136,-30.253394
51,6.502862
1289,689.992674
2242,3041.353855
99,25.631456
1616,1612.422163
95,-24.558757
1472,603.94906
2403,3294.676106
112,-12.765246
224,85.943586
51,-15.015416
222,147.808504
2364,1583.968336
920,838.698226
2219,1063.549261
3324,2233.465803
199,81.913375
3500,1958.966154
2289,2227.294457
1286,1173.143137
1879,1984.815442
2253,2068.089432
2359,1741.166334
1786,1075.593545
1587,1252.537555
3000,2267.26638
514,450.473767
1264,1446.951466
645,336.947971
2472,1735.378862
1945,1441.019221
51,15.704015
3500,2864.41814
480,370.5691
483,425.764913
1418,1012.901554
298,125.93641
51,12.075648
3500,1994.755339
330,294.402556
199,28.539753
3500,2291.421091
1030,784.081277
1051,340.314578
357,289.794881
2958,1976.023862
1213,800.890557
51,10.886868
303,217.935087
1912,1405.24553
51,12.715151
274,152.570005
51,14.536276
51,14.808778
2056,2115.973098
1131,348.27498
3500,5272.305606
51,14.8197
3500,4218.038697
51,15.154387
1392,1440.274221
679,495.513535
750,873.312859
443,310.944614
968,678.19458
3500,3331.796065
51,9.389652
1519,1027.967186
349,216.511209
51,8.593303
1443,1262.237917
3363,3748.047868
117,-15.269351
632,632.791754
3287,3448.655996
2079,1902.930353
1176,1169.83585
176,88.964505
923,584.206967
644,497.020621
3500,3419.575614
722,587.448729
3500,3210.227213
3500,3694.23804
3078,4311.005051
551,537.993687
3500,3882.539885
3500,3520.91798
922,620.263554
1015,1080.724252
73,-43.581192
1695,1609.906835
3500,3552.110245
568,489.558545
1326,1301.009423
913,1079.920829
1739,2021.935825
3500,3690.687447
1721,1394.51902
337,119.383936
676,828.123084
380,390.284874
560,461.482929
2460,2822.446438
3089,1977.637696
3500,4164.991827
622,552.372916
3500,3725.909964
3500,3766.534664
2029,1944.101582
3500,4320.593079
3500,4048.38419
3500,4230.971632
1755,1563.003521
3500,3778.611244
742,870.849437
748,453.675234
3500,4150.754335
2849,2225.97179
2794,2545.103932
2299,2800.271252
1684,1792.275312
3500,3928.921303
3500,3770.174166
2145,2666.508414
3500,3810.170868
3500,3313.171925
3500,4214.951671
1636,1489.007344
1840,2150.844064
3500,4253.705367
3466,3951.272514
3500,4092.421287
168,116.372083
3500,3759.505416
462,406.928508
3364,4099.000326
3500,3984.919349
2396,2634.00536
1532,1759.912021
2228,2575.09948
3500,4027.663198
3500,4788.740119
898,930.611278
1308,1995.719713
51,1.659209
597,665.798485
879,1167.885905
3500,3149.356527
3500,4445.622679
3235,3200.004571
3500,4454.537008
166,74.252586
979,1150.927359
328,193.185984
262,67.368817
2393,2895.03957
3500,4001.178488
2049,2519.949161
495,529.107414
3500,5319.299601
702,675.975555
622,810.202673
2184,2723.039356
1526,1943.125546
1986,2381.06789
3500,3638.470761
3500,4418.432682
233,232.67101
849,519.408289
1071,375.332856
1692,2154.140732
2591,3154.868087
222,134.395436
3500,4223.089115
3500,4226.325912
101,46.557899
458,413.291781
2809,3470.067062
3500,4351.132521
3500,4190.882173
245,90.194991
3500,3654.818566
3500,4463.594981
3500,4715.702155
1989,2612.119939
342,332.355555
512,613.97463
3500,4025.436724
780,870.474337
3335,5209.360761
2584,3276.349977
3079,4775.90554
3500,4363.236761
3500,3619.651516
3500,3749.497532
505,394.927763
2835,2926.938413
1246,1150.428142
2733,3170.742581
1919,2359.321349
851,821.906837
417,325.910394
3500,4121.810603
396,351.063149
3500,4803.72081
3500,4774.418181
433,362.461856
3500,5579.50469
388,425.31938
3500,4323.337934
812,1057.297955
309,264.200256
2044,2361.601541
3500,4829.119076
1357,1772.61928
645,518.338541
3500,4430.093149
3500,5270.65203
2976,4210.383619
209,87.880254
1367,1162.09513
1323,1383.578162
3500,4762.190374
2203,2360.451158
3500,5210.518365
2162,1790.871484
2247,2165.682542
3500,4403.373482
1757,1531.792903
704,754.642646
934,947.588694
1334,529.037966
1135,1283.566604
3500,5620.858988
3500,4814.683609
2358,3238.340653
3500,4403.878537
1062,953.648605
145,-49.227087
3500,5120.441327
1992,2204.073459
364,289.983098
1813,1973.216709
3500,6242.139914
2071,2550.585865
3500,5134.540627
307,308.196441
3500,5424.524739
3500,4330.287202
3500,5483.978331
768,1446.185411
2504,3055.209443
1991,2412.963107
3500,4734.417929
3500,4146.087326
447,483.173188
1954,2806.470976
3500,5416.934805
3500,4821.435394
1291,1706.620311
1932,2884.009964
1463,1980.485842
932,994.856236
3500,5917.159148
3500,5678.184111
3500,4614.025509
309,215.759514
3500,5895.007373
3130,4688.039806
3500,5806.212312
2353,3804.708533
2329,3105.240193
3500,4851.993667
1240,1330.632009
300,321.351034
839,1504.063753
666,670.351087
3500,3844.142713
1385,1966.758674
3500,4371.298229
3500,4215.081441
238,117.692834
3500,5094.733882
794,849.508724
841,858.034856
1114,965.953561
3500,5618.071475
469,531.655568
2048,2312.161638
3500,3814.414805
962,984.658998
3500,5316.175733
2236,2471.22864
2978,4515.177705
3500,5738.886501
2126,2842.561256
2698,3460.161488
3081,5824.483404
3500,4679.630972
3500,6049.371361
1314,1377.274776
815,1188.812542
3500,5234.578537
3500,5036.813087
3500,4978.495304
3500,4534.47727
3500,6127.841266
3500,4675.997663
3500,5592.714834
2235,2277.091079
3500,5820.998114
3500,4906.348732
3211,4802.189711
1552,2067.931194
521,549.329035
2654,3828.519997
657,1247.426695
3500,4337.988444
3500,5901.273113
2328,2839.657038
251,97.869182
3500,4269.19892
3231,4331.088333
2771,5320.214587
3500,4238.991643
1324,1544.778742
3500,6128.91142
3500,5721.04206
184,99.799461
307,210.560359
3500,5359.832184
3500,6603.491601
3500,3872.836065
426,443.860817
3500,5778.426837
916,1094.056851
3500,5287.789835
51,4.333037
3500,5781.404384
3500,5509.180386
3500,5361.319801
3500,4802.427293
3500,4491.091839
3500,6135.262876
3500,4416.39782
1115,1660.210388
3500,4572.36494
289,331.823188
3500,5876.095186
3500,4609.395146
3500,5439.270503
3500,6341.886638
3500,4951.699282
3500,2837.567685
3500,5831.864053
3500,4951.620234
3500,5682.543768
1080,1016.363744
3500,4907.723814
3500,6135.257118
3155,3674.056612
1044,1386.808783
771,1199.773234
1379,1351.220714
3500,5300.610325
3368,5254.456919
1375,2880.569049
1640,2027.246382
2460,3682.877272
3500,5621.860833
1642,2311.87588
3500,5584.278366
2728,4538.308227
3500,5311.862335
3500,4565.976819
3500,4656.267274
3209,3484.560832
2398,2800.805378
3500,5000.1515
3500,6763.508924
3162,5809.17363
3500,4813.700784
3500,6165.174937
1265,2409.176479
3202,5447.631692
2990,5123.455695
3500,5692.028841
3500,5482.334466
1700,1958.600286
3500,5250.956679
3500,5599.539763
3500,5944.846629
181,111.623222
51,14.344422
2173,2803.315061
3500,6462.781373
3500,6303.154544
1239,1659.038034
3500,5971.750193
3500,5366.644122
3500,5991.798309
3500,4790.304937
370,447.067306
1358,1854.746517
3500,4936.849179
3500,5281.294817
3500,5656.807663
3026,4525.301238
3500,4368.228097
3500,4262.972459
3500,4542.80938
3500,4335.731779
3500,4098.634257
3500,5315.879631
3500,6030.137774
3500,5825.098796
3500,6903.727721
3500,5559.30372
3500,5364.318434
3500,5080.114369
3500,4783.84136
3500,4991.95823
3500,5614.750365
2331,3649.856382
3500,6079.510905
1487,1660.445179
272,304.391959
1267,1821.807513
3500,6211.634579
283,433.730694
2391,3177.612587
3500,4327.889344
3500,6157.136399
3500,5691.742281
3500,6515.780227
880,1082.62018
3500,6725.808449
51,15.664533
3500,4975.105185
3500,7603.554202
3500,5658.238254
3500,6005.293202
845,1019.037246
1848,2021.739776
2802,4490.527903
3500,5982.112488
3500,7216.060483
3500,5709.22128
1684,2484.003814
904,762.920512
1248,1619.767231
178,115.927736
1832,3075.402587
3500,6085.241725
665,858.74387
3500,5593.368766
2871,3944.643454
3500,6217.380452
118,76.143951
3500,5611.469634
51,-21.901714
427,641.034658
3500,5038.186114
3500,5351.776971
3500,4755.424717
3500,5580.151718
3500,5950.456366
3500,6335.151614
842,1101.870512
645,842.169874
1481,2466.282186
3500,6394.82327
574,544.923117
2799,4567.078566
3500,5452.931175
1624,2271.657151
3363,3843.887392
3500,6254.076373
623,764.623518
3500,7327.693195
3500,4654.387003
3500,5286.116008
818,986.034126
1571,1729.192685
3500,6332.337079
3500,5260.580175
2603,3647.709498
3500,6829.060763
3500,5662.839935
3500,5630.262355
3500,3716.597679
3500,5110.690055
3500,5417.528411
2063,2753.353387
3500,5979.14744
3500,5670.012475
3500,5416.016923
3500,4186.55723
2006,3038.954974
1338,1599.786755
3500,5811.75598
107,8.69081
3500,5494.959964
2409,4183.826738
172,80.442162
3492,5530.472199
3500,5711.483761
1875,2190.81934
3500,5746.07875
3500,6829.229113
3500,5247.418144
3500,5744.016764
3500,5813.617895
3500,6317.898332
3463,4181.804448
711,857.371468
82,16.671552
3500,6928.563901
3500,5613.032517
3500,6129.063217
1620,1599.74579
248,146.643585
3500,6282.41745
642,802.731721
3500,5088.904586
3500,5926.752357
3500,6915.191329
3500,5615.331783
2563,3256.540614
3500,5902.291807
51,15.499733
908,1092.951972
3500,5593.864854
1572,1879.781592
1009,1460.796075
213,167.439065
279,277.071335
765,903.141594
3500,6631.443264
1978,4018.869047
1266,1940.55732
2544,4989.330539
3500,4268.174511
3500,5939.592707
3359,5232.671565
3500,3379.640461
1179,2350.850292
3500,6842.855022
418,218.384252
51,-3.470068
3500,7143.927352
3500,5098.423781
3500,6262.907944
1792,3317.735045
3500,6508.444071
2237,4043.552838
3500,4850.72775
2733,4490.115182
3500,5370.099724
2315,4198.850965
3500,4081.325284
2000,3496.365167
1061,1621.043782
3500,6203.914912
3500,4897.342667
3500,6003.774167
1609,2261.493384
3500,5391.997724
2722,4536.48761
23,-80.768611
51,14.671817
748,1051.804721
3500,6430.610481
1012,1308.170413
1705,2236.756391
3500,6123.43709
3500,5907.632318
2052,4319.019295
1774,2356.430496
1861,2391.136196
3065,4663.04848
3015,6019.764936
3500,5976.633879
3500,5225.059135
1789,2392.95915
1451,1403.130365
3500,5178.673182
288,362.678629
3500,7051.014363
3500,5359.869919
3500,5803.614169
379,454.503444
3500,5290.344393
3500,5381.022953
3500,6444.548034
3500,5666.345928
2245,3974.865693
1933,3194.67533
3500,4745.254291
3500,6095.395177
3500,5048.740021
1079,1399.906496
1288,1466.140743
3500,4808.44252
3500,4957.739123
3500,3869.715239
3500,5306.082291
3500,5513.773007
3308,5676.994121
2743,3136.222039
3500,4821.708734
3500,6873.759077
893,1258.195445
768,1100.117587
51,8.795671
3500,5154.892306
3500,5869.387493
3500,4832.046264
3185,3322.26275
3500,5151.793434
2995,2963.373082
51,13.377384
3500,6768.595476
3500,6253.019272
3500,4911.776072
3500,6454.339113
223,160.541108
1438,2811.92857
3500,6286.336976
2124,3520.205744
3500,5601.184485
3500,6580.364323
3500,3859.371802
3500,5629.308909
3500,5530.286774
758,1062.988392
780,1076.552227
209,186.732522
323,375.525738
3500,5745.390671
562,638.383083
1346,1531.078536
3500,5392.778585
3500,6446.380746
3500,5123.408997
1909,2288.215779
1222,1332.580995
3500,5831.025492
213,238.889535
3500,6880.574217
3500,5398.071326
3500,6401.757731
103,55.420041
3500,5403.158971
1085,1091.731146
2519,3660.027906
3500,6842.780438
3500,5333.710495
1046,1169.057726
3500,5806.177177
3500,5206.967899
3500,6400.065926
1906,3222.043749
808,1044.879166
455,520.069422
3500,5696.649569
1770,2965.470646
961,1044.321699
3500,6738.8675
46,-56.94275
2961,6531.421766
1586,1386.007267
950,1085.097899
3500,7442.348048
3226,5233.829311
3500,5984.812911
3500,6321.73968
1443,1733.956126
3500,7471.505201
3500,6123.057582
1251,2168.985173
1499,1569.014194
51,13.174841
59,-34.51435
3500,5955.212259
1364,1568.792623
2098,3344.615227
3500,5877.03113
3500,5594.09797
3500,4599.532766
3500,4603.088339
2464,2616.488209
3500,6020.993433
252,248.984843
3500,5937.120321
3500,5155.784863
3500,5520.890939
676,867.728177
1352,1959.073413
3500,4818.217958
77,22.816859
3500,7011.352069
1313,1887.195614
1482,2188.378826
3500,6362.713649
390,322.902904
1641,2799.68552
51,21.249287
1295,1481.427345
3500,5799.790408
3500,5040.465866
3500,4594.019286
3500,7572.098567
3500,5046.030736
3500,5558.010731
2121,1682.711737
208,156.459163
432,394.565322
3500,5557.731914
3500,5335.083705
1928,2324.554476
3500,6140.803305
3500,7257.370022
3500,6094.764705
3500,4325.50429
3500,4697.346181
1157,1513.613495
891,960.077122
485,556.101578
3227,5788.986165
3500,5939.370183
848,1044.430674
3500,4621.687485
2230,2736.089338
147,60.443428
188,124.230053
1862,3181.002707
2645,3618.70768
696,853.831172
3500,5620.929319
3500,5518.203174
3500,4115.52203
3500,5414.70026
270,183.639299
3500,5417.977465
3500,4371.752287
3500,4798.222021
122,48.820532
2970,3997.601546
706,704.11718
1171,982.053273
1376,2100.253679
2132,3313.335499
907,849.767449
3500,5092.594097
3424,5671.198678
67,33.640875
265,155.930199
2589,3473.624766
3500,5026.3875
3500,4616.467739
1724,1989.574988
3500,4243.638609
3500,7489.506763
3500,5596.830998
1726,1890.234784
3500,5183.150375
3500,6249.063174
2597,2968.738316
3500,4994.462699
3500,3790.170652
1210,1580.462142
497,893.23761
3048,5186.399453
3500,6244.368392
3500,6876.836527
3500,5526.625836
2399,4693.557169
3500,4819.878364
1090,1119.697743
1752,2156.000499
3500,4315.799125
3500,5946.338408
3500,5978.367067
1996,3281.446256
2136,2400.234078
3500,4558.521153
724,1451.217764
3500,5525.149858
2801,2891.713845
3500,4210.69755
3500,5056.984696
1642,2680.132065
1363,1946.832045
3500,5552.382323
1148,1510.050503
2865,3666.281716
3500,6559.498585
3500,5083.015933
346,328.92053
3500,7128.418429
3500,5035.481941
3500,5390.620658
3500,6187.093984
3500,6165.041265
686,763.480802
3496,6570.721134
970,1223.049682
1178,2391.514534
3500,6132.38068
3500,7078.160923
3500,5114.940051
297,384.876099
