#{"t_start": 1764344138.6677475, "env_id": "None"}
r,l,t
670.351087,666,31028.460908
3844.142713,3500,31204.508611
1966.758674,1385,31273.290419
4371.298229,3500,31461.654381
4215.081441,3500,31631.248582
117.692834,238,31644.769653
5094.733882,3500,31817.187798
849.508724,794,31859.61267
858.034856,841,31902.585647
965.953561,1114,31957.000559
5618.071475,3500,32127.819808
531.655568,469,32154.01916
2312.161638,2048,32257.497968
3814.414805,3500,32422.433509
984.658998,962,32472.911984
5316.175733,3500,32648.233347
2471.22864,2236,32753.545944
4515.177705,2978,32901.536797
5738.886501,3500,33072.994582
2842.561256,2126,33175.514041
3460.161488,2698,33302.683589
5824.483404,3081,33447.447717
4679.630972,3500,33632.60995
6049.371361,3500,33799.6098
1377.274776,1314,33863.487004
1188.812542,815,33902.356129
5234.578537,3500,34071.566111
5036.813087,3500,34245.683967
4978.495304,3500,34416.498811
4534.47727,3500,34593.551472
6127.841266,3500,34763.308047
4675.997663,3500,34926.707489
5592.714834,3500,35106.992488
2277.091079,2235,35224.256687
5820.998114,3500,35400.667658
4906.348732,3500,35575.57653
4802.189711,3211,35740.242993
2067.931194,1552,35821.963885
549.329035,521,35848.279587
3828.519997,2654,35975.130275
1247.426695,657,36004.683264
4337.988444,3500,36179.810605
5901.273113,3500,36350.296743
2839.657038,2328,36465.661988
97.869182,251,36478.912496
4269.19892,3500,36662.878231
4331.088333,3231,36803.856863
5320.214587,2771,36939.532672
4238.991643,3500,37110.97154
1544.778742,1324,37178.979588
6128.91142,3500,37347.000228
5721.04206,3500,37511.805655
99.799461,184,37521.877611
210.560359,307,37537.189921
5359.832184,3500,37727.93194
6603.491601,3500,37894.145773
3872.836065,3500,38068.933702
443.860817,426,38092.750475
5778.426837,3500,38268.770709
1094.056851,916,38313.906495
5287.789835,3500,38477.536716
4.333037,51,38480.823447
5781.404384,3500,38657.228012
5509.180386,3500,38832.284295
5361.319801,3500,39002.8692
4802.427293,3500,39183.497046
4491.091839,3500,39357.452574
6135.262876,3500,39533.023843
4416.39782,3500,39699.506212
1660.210388,1115,39754.193125
4572.36494,3500,39912.392397
331.823188,289,39929.839637
5876.095186,3500,40104.322495
4609.395146,3500,40269.234311
5439.270503,3500,40440.737164
6341.886638,3500,40606.92942
4951.699282,3500,40773.033169
2837.567685,3500,40942.551676
5831.864053,3500,41112.774291
4951.620234,3500,41279.860382
5682.543768,3500,41448.807037
1016.363744,1080,41498.498104
4907.723814,3500,41660.789078
6135.257118,3500,41827.762841
3674.056612,3155,41995.367162
1386.808783,1044,42050.135863
1199.773234,771,42087.85376
1351.220714,1379,42156.950042
5300.610325,3500,42325.408955
5254.456919,3368,42496.889322
2880.569049,1375,42559.604232
2027.246382,1640,42647.900021
3682.877272,2460,42782.609488
5621.860833,3500,42966.373257
2311.87588,1642,43043.633321
5584.278366,3500,43223.995313
4538.308227,2728,43347.959184
5311.862335,3500,43509.213635
4565.976819,3500,43671.782405
4656.267274,3500,43841.691211
3484.560832,3209,44006.75781
2800.805378,2398,44115.395915
5000.1515,3500,44280.837196
6763.508924,3500,44440.859375
5809.17363,3162,44604.129107
4813.700784,3500,44775.142383
6165.174937,3500,44963.664222
2409.176479,1265,45027.982311
5447.631692,3202,45172.675095
5123.455695,2990,45314.786688
5692.028841,3500,45480.181235
5482.334466,3500,45659.3228
1958.600286,1700,45744.071588
5250.956679,3500,45918.303613
5599.539763,3500,46091.070254
5944.846629,3500,46258.922659
111.623222,181,46268.791924
14.344422,51,46271.780187
2803.315061,2173,46374.580657
6462.781373,3500,46542.932316
6303.154544,3500,46717.295044
1659.038034,1239,46784.192365
5971.750193,3500,46953.363871
5366.644122,3500,47131.405344
5991.798309,3500,47297.637272
4790.304937,3500,47492.225143
447.067306,370,47512.72162
1854.746517,1358,47575.102924
4936.849179,3500,47749.490683
5281.294817,3500,47952.337674
5656.807663,3500,48154.742943
4525.301238,3026,48295.532925
4368.228097,3500,48471.791995
4262.972459,3500,48634.946173
4542.80938,3500,48814.495727
4335.731779,3500,48996.592948
4098.634257,3500,49209.793296
5315.879631,3500,49403.005163
6030.137774,3500,49605.709627
5825.098796,3500,49799.786248
6903.727721,3500,49970.485363
5559.30372,3500,50153.452322
5364.318434,3500,50331.619758
5080.114369,3500,50507.544234
4783.84136,3500,50674.009813
4991.95823,3500,50843.193891
5614.750365,3500,51011.761542
3649.856382,2331,51120.649818
6079.510905,3500,51307.162365
1660.445179,1487,51378.091448
304.391959,272,51390.744599
1821.807513,1267,51451.489563
6211.634579,3500,51618.361758
433.730694,283,51631.958678
3177.612587,2391,51746.957247
4327.889344,3500,51922.750325
6157.136399,3500,52095.881265
5691.742281,3500,52264.349745
6515.780227,3500,52422.621298
1082.62018,880,52464.325216
6725.808449,3500,52636.560136
15.664533,51,52639.967041
4975.105185,3500,52810.65749
7603.554202,3500,52968.408406
5658.238254,3500,53139.598988
6005.293202,3500,53312.127685
1019.037246,845,53353.845999
2021.739776,1848,53449.880944
4490.527903,2802,53593.711987
5982.112488,3500,53768.95566
7216.060483,3500,53927.207807
5709.22128,3500,54091.218784
2484.003814,1684,54180.073246
762.920512,904,54224.404558
1619.767231,1248,54283.325468
115.927736,178,54292.671253
3075.402587,1832,54383.281007
6085.241725,3500,54560.855875
858.74387,665,54599.053864
5593.368766,3500,54796.988557
3944.643454,2871,54947.036666
6217.380452,3500,55117.151837
76.143951,118,55124.732883
5611.469634,3500,55292.832561
-21.901714,51,55296.35042
641.034658,427,55318.586577
5038.186114,3500,55480.823848
5351.776971,3500,55659.141126
4755.424717,3500,55835.975019
5580.151718,3500,56009.808999
5950.456366,3500,56181.967896
6335.151614,3500,56351.887374
1101.870512,842,56389.312019
842.169874,645,56421.59711
2466.282186,1481,56499.058166
6394.82327,3500,56667.279081
544.923117,574,56696.833378
4567.078566,2799,56833.05584
5452.931175,3500,57002.535589
2271.657151,1624,57078.019885
3843.887392,3363,57232.080183
6254.076373,3500,57402.089735
764.623518,623,57433.463023
7327.693195,3500,57623.776164
4654.387003,3500,57802.566174
5286.116008,3500,57998.796406
986.034126,818,58046.529784
1729.192685,1571,58128.55414
6332.337079,3500,58305.529873
5260.580175,3500,58482.11434
3647.709498,2603,58616.635844
6829.060763,3500,58795.162961
5662.839935,3500,58966.573474
5630.262355,3500,59142.631151
3716.597679,3500,59319.357109
5110.690055,3500,59517.573233
5417.528411,3500,59714.737854
2753.353387,2063,59820.501278
5979.14744,3500,59995.548141
5670.012475,3500,60159.455492
5416.016923,3500,60330.759324
4186.55723,3500,60496.929164
3038.954974,2006,60594.496377
1599.786755,1338,60658.367511
5811.75598,3500,60833.555419
8.69081,107,60839.253919
5494.959964,3500,61020.841098
4183.826738,2409,61142.47593
80.442162,172,61151.775587
5530.472199,3492,61325.30651
5711.483761,3500,61491.333547
2190.81934,1875,61586.188579
5746.07875,3500,61772.512111
6829.229113,3500,61950.159482
5247.418144,3500,62133.197531
5744.016764,3500,62311.906179
5813.617895,3500,62492.335068
6317.898332,3500,62673.226575
4181.804448,3463,62849.463418
857.371468,711,62887.077543
16.671552,82,62893.023178
6928.563901,3500,63087.623389
5613.032517,3500,63269.229429
6129.063217,3500,63460.37075
1599.74579,1620,63540.859578
146.643585,248,63554.310663
6282.41745,3500,63735.109467
802.731721,642,63771.876773
5088.904586,3500,63947.742379
5926.752357,3500,64149.545067
6915.191329,3500,64320.026895
5615.331783,3500,64511.558158
3256.540614,2563,64639.546485
5902.291807,3500,64824.958774
15.499733,51,64827.995226
1092.951972,908,64875.954645
5593.864854,3500,65054.742839
1879.781592,1572,65137.981003
1460.796075,1009,65189.497759
167.439065,213,65203.247533
277.071335,279,65217.629445
903.141594,765,65258.721506
6631.443264,3500,65444.897604
4018.869047,1978,65547.793655
1940.55732,1266,65618.708757
4989.330539,2544,65743.328694
4268.174511,3500,65937.066031
5939.592707,3500,66114.077056
5232.671565,3359,66277.44686
3379.640461,3500,66444.512482
2350.850292,1179,66501.755212
6842.855022,3500,66671.014638
218.384252,418,66690.809922
-3.470068,51,66694.911684
7143.927352,3500,66884.595167
5098.423781,3500,67058.134571
6262.907944,3500,67228.521551
3317.735045,1792,67316.796519
6508.444071,3500,67478.169289
4043.552838,2237,67585.868298
4850.72775,3500,67767.657738
4490.115182,2733,67900.367074
5370.099724,3500,68090.441903
4198.850965,2315,68200.276788
4081.325284,3500,68374.187465
3496.365167,2000,68487.149508
1621.043782,1061,68542.913478
6203.914912,3500,68723.354762
4897.342667,3500,68920.740935
6003.774167,3500,69093.991484
2261.493384,1609,69176.427488
5391.997724,3500,69370.743993
4536.48761,2722,69519.7455
-80.768611,23,69522.700003
14.671817,51,69528.416788
1051.804721,748,69596.89927
6430.610481,3500,69842.819106
1308.170413,1012,69891.044608
2236.756391,1705,69969.960777
6123.43709,3500,70166.928348
5907.632318,3500,70335.871749
4319.019295,2052,70431.167329
2356.430496,1774,70527.095803
2391.136196,1861,70637.212335
4663.04848,3065,70797.613633
6019.764936,3015,70950.664937
5976.633879,3500,71131.821221
5225.059135,3500,71316.522577
2392.95915,1789,71408.587477
1403.130365,1451,71477.340938
5178.673182,3500,71651.28989
362.678629,288,71667.001565
7051.014363,3500,71838.404011
5359.869919,3500,72009.11241
5803.614169,3500,72185.081617
454.503444,379,72205.029649
5290.344393,3500,72390.612853
5381.022953,3500,72565.326699
6444.548034,3500,72740.901024
5666.345928,3500,72920.281685
3974.865693,2245,73027.786331
3194.67533,1933,73130.612349
4745.254291,3500,73324.032342
6095.395177,3500,73493.808201
5048.740021,3500,73698.867885
1399.906496,1079,73755.815544
1466.140743,1288,73819.833353
4808.44252,3500,74025.258217
4957.739123,3500,74199.969464
3869.715239,3500,74370.718719
5306.082291,3500,74552.085885
5513.773007,3500,74732.035368
5676.994121,3308,74892.941187
3136.222039,2743,75040.48292
4821.708734,3500,75229.241701
6873.759077,3500,75416.279562
1258.195445,893,75465.263894
1100.117587,768,75510.549064
8.795671,51,75513.917183
5154.892306,3500,75685.426531
5869.387493,3500,75867.033666
4832.046264,3500,76041.17329
3322.26275,3185,76220.286851
5151.793434,3500,76420.941245
2963.373082,2995,76571.816458
13.377384,51,76575.520404
6768.595476,3500,76747.642524
6253.019272,3500,76914.45909
4911.776072,3500,77094.095354
6454.339113,3500,77277.215616
160.541108,223,77291.660678
2811.92857,1438,77359.310404
6286.336976,3500,77551.48199
3520.205744,2124,77669.170342
5601.184485,3500,77856.580057
6580.364323,3500,78031.136709
3859.371802,3500,78205.383109
5629.308909,3500,78384.647233
5530.286774,3500,78563.596036
1062.988392,758,78607.004659
1076.552227,780,78644.04578
186.732522,209,78654.428734
375.525738,323,78671.822462
5745.390671,3500,78849.684472
638.383083,562,78881.324638
1531.078536,1346,78953.197777
5392.778585,3500,79120.441158
6446.380746,3500,79304.959789
5123.408997,3500,79489.396125
2288.215779,1909,79585.575247
1332.580995,1222,79645.389884
5831.025492,3500,79825.000615
238.889535,213,79838.578026
6880.574217,3500,80026.88446
5398.071326,3500,80208.405488
6401.757731,3500,80404.222904
55.420041,103,80410.781597
5403.158971,3500,80580.521665
1091.731146,1085,80640.074623
3660.027906,2519,80775.492571
6842.780438,3500,80954.205539
5333.710495,3500,81131.201743
1169.057726,1046,81186.023322
5806.177177,3500,81374.529013
5206.967899,3500,81568.393747
6400.065926,3500,81737.385895
3222.043749,1906,81844.266741
1044.879166,808,81894.490495
520.069422,455,81918.175597
5696.649569,3500,82098.387531
2965.470646,1770,82200.505109
1044.321699,961,82251.639936
6738.8675,3500,82430.010576
-56.94275,46,82433.452556
6531.421766,2961,82586.293348
1386.007267,1586,82665.011951
1085.097899,950,82713.616284
7442.348048,3500,82887.794393
5233.829311,3226,83049.543888
5984.812911,3500,83230.009911
6321.73968,3500,83405.439665
1733.956126,1443,83492.238272
7471.505201,3500,83690.71103
6123.057582,3500,83873.250319
2168.985173,1251,83934.43176
1569.014194,1499,84005.497412
13.174841,51,84008.803378
-34.51435,59,84012.479389
5955.212259,3500,84196.768579
1568.792623,1364,84273.654677
3344.615227,2098,84375.60006
5877.03113,3500,84569.156955
5594.09797,3500,84744.15112
4599.532766,3500,84929.794976
4603.088339,3500,85113.384794
2616.488209,2464,85234.988283
6020.993433,3500,85412.100448
248.984843,252,85427.130273
5937.120321,3500,85595.576844
5155.784863,3500,85776.433309
5520.890939,3500,85949.36585
867.728177,676,85984.606083
1959.073413,1352,86053.584013
4818.217958,3500,86230.10419
22.816859,77,86234.321591
7011.352069,3500,86418.109345
1887.195614,1313,86480.31817
2188.378826,1482,86557.08558
6362.713649,3500,86741.807974
322.902904,390,86761.537353
2799.68552,1641,86844.548485
21.249287,51,86847.876106
1481.427345,1295,86919.402866
5799.790408,3500,87104.477023
5040.465866,3500,87281.024501
4594.019286,3500,87466.205417
7572.098567,3500,87650.885535
5046.030736,3500,87841.066202
5558.010731,3500,88008.200816
1682.711737,2121,88109.836884
156.459163,208,88120.935619
394.565322,432,88144.715978
5557.731914,3500,88331.179109
5335.083705,3500,88507.899053
2324.554476,1928,88612.077626
6140.803305,3500,88790.003137
7257.370022,3500,88968.734487
6094.764705,3500,89150.867806
4325.50429,3500,89326.842408
4697.346181,3500,89495.008379
1513.613495,1157,89550.690858
960.077122,891,89597.835315
556.101578,485,89621.316397
5788.986165,3227,89779.138161
5939.370183,3500,89951.796146
1044.430674,848,89992.402841
4621.687485,3500,90173.760046
2736.089338,2230,90278.311552
60.443428,147,90286.584313
124.230053,188,90298.18462
3181.002707,1862,90395.619272
3618.70768,2645,90526.987824
853.831172,696,90567.240248
5620.929319,3500,90738.751203
5518.203174,3500,90914.911402
4115.52203,3500,91103.20167
5414.70026,3500,91267.979034
183.639299,270,91282.884596
5417.977465,3500,91471.904386
4371.752287,3500,91652.185892
4798.222021,3500,91823.901173
48.820532,122,91830.412301
3997.601546,2970,91973.30318
704.11718,706,92009.228037
982.053273,1171,92065.853791
2100.253679,1376,92131.765753
3313.335499,2132,92232.471947
849.767449,907,92279.061447
5092.594097,3500,92458.780812
5671.198678,3424,92627.469596
33.640875,67,92631.889683
155.930199,265,92647.590409
3473.624766,2589,92775.733258
5026.3875,3500,92952.911297
4616.467739,3500,93118.426407
1989.574988,1724,93209.080686
4243.638609,3500,93382.229452
7489.506763,3500,93571.685852
5596.830998,3500,93752.431918
1890.234784,1726,93832.106018
5183.150375,3500,93996.576795
6249.063174,3500,94179.450433
2968.738316,2597,94304.52471
4994.462699,3500,94492.511535
3790.170652,3500,94668.715308
1580.462142,1210,94726.827788
893.23761,497,94750.362062
5186.399453,3048,94918.386682
6244.368392,3500,95079.714653
6876.836527,3500,95245.150848
5526.625836,3500,95436.066819
4693.557169,2399,95553.438781
4819.878364,3500,95732.447515
1119.697743,1090,95787.577179
2156.000499,1752,95872.21941
4315.799125,3500,96052.739835
5946.338408,3500,96226.916105
5978.367067,3500,96409.64032
3281.446256,1996,96509.838136
2400.234078,2136,96613.32941
4558.521153,3500,96798.65328
1451.217764,724,96835.761361
5525.149858,3500,97004.770205
2891.713845,2801,97158.183221
4210.69755,3500,97348.485652
5056.984696,3500,97529.246098
2680.132065,1642,97613.301493
1946.832045,1363,97682.250976
5552.382323,3500,97852.175754
1510.050503,1148,97910.51638
3666.281716,2865,98052.149086
6559.498585,3500,98222.150528
5083.015933,3500,98408.933905
328.92053,346,98427.70751
7128.418429,3500,98617.351944
5035.481941,3500,98790.929084
5390.620658,3500,98962.760524
6187.093984,3500,99147.588875
6165.041265,3500,99322.853558
763.480802,686,99358.066839
6570.721134,3496,99522.409472
1223.049682,970,99568.179097
2391.514534,1178,99627.22548
6132.38068,3500,99798.634431
7078.160923,3500,99970.282536
5114.940051,3500,100131.224374
384.876099,297,100146.455076
