#{"t_start": 1764344138.6677475, "env_id": "None"}
r,l,t
774.253016,1120,1155.563283
-7.484215,51,1158.028676
-7.738332,51,1160.273025
-5.295328,51,1162.933187
-7.890387,52,1165.5356
-3.783349,51,1168.320779
-4.838594,51,1171.012969
220.434493,365,1183.48564
-8.422555,51,1186.511838
-7.559575,51,1189.236316
-3.382252,53,1192.17907
-6.212724,52,1194.907832
-7.392888,51,1197.496391
-7.301016,51,1200.226503
-4.996177,51,1202.520795
-9.589868,51,1205.106444
-6.732498,51,1207.856279
-3.666856,51,1210.624465
-7.694812,51,1212.850053
-6.480945,51,1215.523779
-6.361246,51,1217.683512
0.184242,51,1220.216128
422.754315,611,1241.806117
-4.597948,51,1244.095345
-4.726627,51,1247.384066
-6.453489,51,1250.204071
39.41557,129,1255.681601
-7.329298,51,1258.662264
-4.874549,51,1261.081943
-4.125709,51,1263.714983
415.121965,602,1282.613016
-6.03022,51,1285.216722
-5.151921,51,1287.869904
-7.643759,51,1290.642996
-5.990153,51,1293.555056
-7.327431,51,1296.117453
-4.673886,51,1298.605483
-4.775856,51,1301.078897
-4.238239,52,1303.940886
-4.058023,51,1306.963442
-4.097153,51,1310.487245
-3.156993,51,1313.243386
-7.013612,51,1315.557101
-6.345502,51,1317.990358
3.419458,51,1320.739332
-7.747937,51,1323.399654
-1.768676,52,1325.776593
-3.11139,51,1328.357903
-9.726813,51,1330.885875
-2.874258,133,1336.06396
-4.245673,51,1338.426379
-3.679584,53,1341.333459
-7.406214,51,1343.943788
-3.301351,51,1346.890464
-4.570376,51,1350.581179
-4.425623,51,1353.63606
-5.324987,51,1357.06701
-4.971835,51,1360.261545
-5.180597,51,1363.933885
0.059383,51,1366.980253
170.291148,132,1372.501811
-6.315019,51,1374.799301
-4.250861,51,1377.394805
-8.771868,51,1379.716781
1.253622,51,1382.462422
648.444455,324,1395.466991
498.843959,748,1420.01955
1413.140189,739,1445.091496
229.317272,365,1456.028031
96.004706,51,1458.605729
-5.371737,51,1461.307798
-6.414072,51,1463.842955
-8.213613,51,1466.589251
829.489608,1245,1506.600788
-2.687622,51,1508.903754
0.820119,52,1511.336854
-4.499689,51,1513.914949
-1.853828,51,1517.36033
-6.50582,51,1519.896856
-5.75988,51,1522.877011
-5.081355,51,1525.86623
-2.889282,51,1529.090837
20.94488,101,1532.920236
-6.040159,51,1535.845823
-9.077099,51,1538.958867
-4.59694,51,1541.911751
-6.395108,51,1544.937137
-7.382484,51,1547.868773
-3.606043,51,1550.28838
-6.094517,51,1552.690015
-7.031613,51,1555.426857
-6.119882,51,1557.700331
-2.047025,51,1560.465807
-5.12684,51,1562.910613
-6.617818,51,1565.886661
-6.377088,52,1569.023775
-3.706189,51,1571.599039
-7.166792,51,1574.472188
-7.936425,51,1577.045578
425.523625,624,1600.94701
-8.635028,51,1603.633891
434.355034,679,1630.0715
-2.530135,51,1632.961426
-9.760723,51,1635.534518
-7.710022,51,1638.070283
-5.317414,51,1640.570014
-7.609789,51,1643.110884
-5.869657,51,1645.809543
-6.980886,51,1648.618079
-4.197292,51,1651.355561
-6.281383,51,1654.02761
20.999517,125,1660.287664
-5.404125,51,1662.653266
-4.401264,51,1665.382391
-5.442833,51,1668.074131
-4.83774,51,1670.824448
-7.990764,51,1673.436652
-4.031003,51,1676.111552
-3.608556,51,1679.874561
-6.089132,51,1682.591424
-3.420422,51,1685.153248
-4.077407,51,1687.549059
-5.722149,51,1690.297472
33.356264,101,1693.987129
-3.688196,51,1696.716737
-7.307093,51,1699.325808
-4.436115,51,1701.812372
-5.575304,52,1704.29902
-4.653361,51,1706.765973
-3.461475,52,1709.54215
-7.048584,51,1712.008641
-2.948112,51,1714.594433
-6.804354,51,1717.467451
80.445435,175,1724.450098
-7.455994,51,1727.088845
-2.8317,51,1729.528411
-7.513939,51,1732.13105
666.02497,932,1765.428232
-5.645843,51,1768.089921
-7.466643,51,1770.551947
-4.610266,51,1772.964102
-5.426636,51,1775.285523
-4.769848,51,1777.92836
-3.676995,51,1780.549708
-3.428233,51,1782.907376
-6.475443,51,1785.355789
694.79154,993,1818.263224
-3.60189,51,1820.895115
-6.072588,51,1823.295654
-6.833385,51,1825.566097
-0.319551,51,1828.425688
619.844818,867,1858.170348
758.646293,1120,1895.746756
-6.925277,51,1898.168929
-1.869981,51,1901.001454
134.400989,240,1910.564281
-4.414564,51,1913.028512
-8.978677,51,1915.854824
-8.531141,51,1918.142489
-5.672225,51,1920.828764
-3.963237,51,1924.122627
-4.22117,51,1926.844123
-8.770354,51,1929.892277
-5.344533,51,1932.377924
-6.062077,51,1935.380402
-6.290775,51,1937.536777
-1.684161,51,1940.253699
-3.115545,53,1942.505366
-4.851828,51,1944.72236
-8.283362,51,1947.237406
-11.140117,51,1950.882261
-4.38027,51,1953.915915
-4.148275,51,1956.425736
-5.42165,51,1959.088534
58.802985,83,1963.435691
-7.671273,51,1966.223742
-4.799028,51,1968.791212
-8.14161,51,1971.20866
38.196656,119,1976.230604
-3.689967,51,1979.60956
23.928432,104,1985.111062
-6.515092,51,1987.793541
-3.243761,51,1990.88068
-9.715144,51,1993.564566
-4.898213,51,1996.031984
-5.298723,51,1998.876896
-1.586766,51,2001.588408
-4.775055,51,2005.185657
-3.69632,51,2008.578072
-9.080101,51,2011.397885
-6.831202,51,2014.993858
-3.863167,51,2018.255398
-2.153154,51,2020.55629
-6.089758,51,2023.304008
-8.435374,51,2025.745509
-3.419781,51,2028.102097
-6.785148,51,2030.731334
-3.77314,51,2033.873249
-4.947118,51,2036.417082
-8.428007,51,2039.006928
23.053258,83,2043.001512
-5.201405,51,2045.674838
-2.962841,53,2049.288054
-9.014751,51,2051.938109
89.676717,177,2058.565497
560.768339,743,2081.058563
-5.847122,51,2084.091559
-5.065905,51,2086.552831
155.965145,239,2094.943301
-4.003737,51,2097.744216
-2.986526,51,2100.745653
-3.66339,51,2103.340992
-3.595743,51,2106.188204
15.756013,83,2110.285609
-7.393284,51,2114.543511
-6.864104,51,2118.150621
-6.398659,51,2121.516707
-1.318647,51,2124.794014
1292.659669,900,2168.227255
-1.217999,51,2171.416534
-2.36737,51,2175.16898
1.439733,51,2178.264913
988.879276,1310,2244.381663
3.58868,51,2247.589809
2.252341,51,2250.830548
5.640386,51,2254.169169
3.579854,51,2258.082617
2.607956,51,2262.008889
5.829055,51,2265.246399
10.428205,53,2269.094265
6.274739,51,2272.608944
599.889816,734,2309.563795
7.713168,51,2312.889819
8.950845,51,2316.491686
7.674977,51,2320.277159
9.109033,51,2323.819761
9.894893,51,2327.704176
12.93661,150,2336.776611
8.695199,51,2339.884688
10.30242,51,2343.623642
9.276938,51,2347.014038
9.404343,51,2350.453712
224.046682,273,2364.435112
18.661837,89,2369.992378
4.101452,51,2374.11262
8.308632,51,2377.285843
11.606399,51,2380.776814
11.58337,51,2383.868384
97.131267,112,2390.035791
11.458393,51,2393.255435
29.906579,63,2397.278848
31.572835,69,2401.556684
12.444571,51,2405.008923
-23.030814,45,2408.559869
11.991846,51,2411.722304
8.97837,51,2415.296382
8.085608,51,2418.834899
8.924433,51,2421.95315
14.89689,53,2425.638662
11.432195,51,2429.888025
-17.739476,57,2433.775414
11.577547,51,2437.061956
10.843007,51,2440.122447
13.109824,51,2443.395416
46.048492,119,2449.455016
9.849299,51,2453.089163
-53.858535,74,2457.724594
-16.321052,54,2461.167322
24.651188,59,2465.149911
-3.778083,138,2472.111493
-1.953982,128,2478.711411
-16.123358,115,2484.837567
-5.428556,121,2491.888156
-19.276025,104,2498.117176
26.79396,60,2501.608762
-37.352834,97,2507.545386
24.486847,63,2511.670262
11.812795,52,2514.900688
11.213317,51,2518.73027
19.037598,65,2522.948752
-30.348606,98,2528.599858
17.731651,52,2532.006466
7.500187,51,2535.293649
10.701115,51,2538.923468
20.055883,49,2542.427587
23.489213,56,2546.336071
14.923777,44,2549.811622
10.833224,51,2553.141504
12.813792,51,2556.869173
8.889913,51,2560.345532
19.028367,47,2563.494221
18.151909,55,2567.60862
-26.943313,34,2570.255282
9.191559,51,2574.400924
14.324417,44,2577.83631
10.709566,51,2581.43983
17.791119,43,2584.897143
15.475558,47,2588.24117
21.044477,52,2592.279587
20.573175,47,2595.29738
16.178238,48,2598.720168
17.721306,50,2601.880361
602.384361,508,2626.7467
-22.976364,43,2630.466813
27.010943,54,2633.863336
11.055826,51,2636.972572
10.255502,51,2641.171311
18.491879,45,2644.167238
762.961987,816,2684.607186
13.997292,51,2687.955618
-11.536349,115,2694.205658
-13.740157,103,2699.938969
1045.575214,441,2722.382104
19.910831,47,2725.471643
16.050939,48,2728.719817
-16.417032,97,2733.647778
12.637835,52,2737.190226
20.948853,56,2741.516409
-0.040413,73,2745.829391
-31.114118,40,2748.453115
9.82233,49,2751.682102
161.500163,189,2761.434556
-2.584237,52,2764.937465
2.824538,63,2769.005199
12.090357,52,2772.46679
12.97215,51,2775.918336
-12.307471,68,2780.447462
14.791519,51,2783.779652
-25.094678,111,2790.309633
177.500092,214,2802.053469
-19.296817,62,2805.924207
-17.108094,66,2809.643762
-8.893588,59,2813.599945
14.354081,51,2817.024784
-48.538745,54,2820.692063
-7.872949,57,2824.359669
1620.929598,678,2858.633446
0.417413,266,2872.448115
44.576244,162,2881.264019
-20.52261,87,2885.932628
-0.501366,80,2891.247858
13.799289,51,2895.211601
835.917966,860,2932.995141
-33.210757,99,2938.239439
-16.125316,82,2942.619586
-28.992117,104,2948.664178
14.976847,51,2951.94034
-10.880894,91,2956.994465
1.802177,250,2970.201768
-37.985494,108,2975.638715
-9.921699,89,2981.599258
13.76387,51,2985.485346
14.583514,51,2988.74316
340.976001,391,3007.882875
-11.499625,73,3012.353871
-2.453801,100,3018.605156
81.69852,188,3029.581472
-120.767017,254,3043.690585
-6.91562,86,3048.900215
11.873042,51,3052.332721
14.090106,51,3055.731758
20.79601,105,3061.577752
27.653262,78,3066.775691
187.365945,535,3092.023846
2423.853138,953,3142.546828
7.544422,76,3147.527313
14.05307,51,3150.565228
14.561837,51,3154.178989
5.260073,345,3172.769825
-3.021114,80,3177.195451
11.099251,51,3180.789831
-10.925408,76,3184.851004
